"corp_code","induty_code"
"00167004","46712"
"00167031","29241"
"00167192","221"
"00167208","50112"
"00167280","461"
"00167378","42"
"00168331","46413"
"00168401","23192"
"00169048","471"
"00169215","29133"
"00170026","732"
"00170451","64913"
"00170558","969"
"00170877","11121"
"00171265","91249"
"00171636","64992"
"00171867","28519"
"00172079","213"
"00172103","28202"
"00172185","467"
"00172228","2512"
"00172291","62022"
"00172680","24122"
"00172936","24113"
"00172945","24121"
"00173032","16212"
"00173069","30320"
"00173078","303"
"00173102","17902"
"00173254","64131"
"00173324","291"
"00173333","47111"
"00173351","264"
"00173397","41221"
"00173449","22193"
"00173591","303"
"00173634","85501"
"00173661","41221"
"00173698","46521"
"00173731","759"
"00173740","41121"
"00173795","4659"
"00173874","221"
"00173944","27216"
"00173999","492"
"00174004","303"
"00174129","64131"
"00174208","29241"
"00174305","467"
"00174475","25932"
"00174527","41112"
"00175173","303"
"00175623","46419"
"00175650","68112"
"00176516","423"
"00176792","65110"
"00176835","01123"
"00176914","631"
"00177199","2419"
"00177320","21230"
"00177816","2629"
"00177870","251"
"00178471","62090"
"00178754","421"
"00178790","2811"
"00178851","24121"
"00179832","75310"
"00180263","172"
"00180795","303"
"00180865","46800"
"00181299","222"
"00181712","64992"
"00181934","41225"
"00181943","452"
"00183215","26410"
"00183260","2629"
"00183914","2419"
"00184667","23322"
"00184889","161"
"00185046","713"
"00185222","291"
"00185356","2811"
"00185505","21230"
"00186452","26410"
"00186540","58221"
"00186559","6201"
"00186717","25991"
"00186799","25912"
"00186939","412"
"00187415","21230"
"00187725","26410"
"00187770","212"
"00188089","14112"
"00188122","10899"
"00188715","25912"
"00188797","259"
"00188946","591"
"00188973","212"
"00189343","64131"
"00189538","2611"
"00190321","612"
"00190756","38220"
"00191108","20491"
"00191287","24312"
"00191472","20119"
"00191588","303"
"00192499","109"
"00193009","2629"
"00193328","422"
"00194275","471"
"00194372","26410"
"00194947","72129"
"00195229","464"
"00197324","73901"
"00197476","353"
"00197759","27219"
"00198192","17223"
"00198378","21100"
"00198572","28519"
"00198697","261"
"00199076","2629"
"00199252","213"
"00199988","2219"
"00200275","591"
"00200761","73201"
"00200798","2642"
"00200910","612"
"00200956","62021"
"00201131","13402"
"00201432","28123"
"00201450","76110"
"00201733","265"
"00201742","281"
"00201788","24123"
"00202060","303"
"00202778","29142"
"00202839","24229"
"00203023","2629"
"00203209","29133"
"00203290","64992"
"00203315","591"
"00203458","28410"
"00203582","161"
"00203847","24221"
"00204208","1012"
"00204226","639"
"00204262","582"
"00204323","28302"
"00204642","60210"
"00205003","14120"
"00205687","383"
"00206039","24199"
"00206084","24122"
"00206127","58221"
"00206659","262"
"00206686","467"
"00207223","468"
"00207375","212"
"00207436","4659"
"00207542","2642"
"00207755","602"
"00208134","60210"
"00208301","29293"
"00208374","26410"
"00208444","29271"
"00208693","2612"
"00209443","64911"
"00209780","27216"
"00210537","74100"
"00210740","212"
"00210856","320"
"00210980","4659"
"00211271","27111"
"00215107","26321"
"00215976","262"
"00216027","212"
"00216434","10121"
"00216498","721"
"00216647","201"
"00216762","721"
"00217743","29133"
"00217947","4112"
"00218052","29271"
"00218575","24290"
"00218654","263"
"00219097","64992"
"00219361","649"
"00219440","620"
"00219486","62021"
"00219574","64992"
"00219848","4112"
"00220057","58221"
"00220109","27192"
"00220181","25912"
"00220446","29176"
"00220552","2642"
"00220561","47111"
"00220613","2419"
"00220622","28123"
"00220686","28111"
"00220969","20493"
"00221320","26211"
"00221728","28519"
"00222213","26299"
"00222435","204"
"00222532","60222"
"00222806","262"
"00223346","58221"
"00223434","2629"
"00223513","46510"
"00223762","603"
"00224567","22211"
"00225140","15121"
"00225159","64992"
"00225210","58221"
"00225706","212"
"00225742","423"
"00226228","26329"
"00226316","14199"
"00226352","2642"
"00226547","582"
"00226866","2642"
"00227333","261"
"00228059","212"
"00228350","2229"
"00228536","29241"
"00228712","10121"
"00228916","63991"
"00229021","62021"
"00229030","24222"
"00229818","2642"
"00229827","4610"
"00230036","5821"
"00230425","27199"
"00230814","303"
"00230911","20201"
"00231044","28123"
"00231105","201"
"00231354","2811"
"00231363","61220"
"00231372","75210"
"00231442","631"
"00231567","58221"
"00231664","6491"
"00231691","901"
"00231707","58221"
"00231831","212"
"00231901","64991"
"00232007","411"
"00232089","463"
"00232317","26"
"00232496","591"
"00232821","2612"
"00233653","642"
"00234227","292"
"00234412","4741"
"00234449","29293"
"00234555","292"
"00235147","303"
"00235183","29221"
"00236021","2642"
"00236368","22214"
"00236863","72111"
"00237260","2642"
"00238001","26529"
"00238153","28519"
"00238199","62090"
"00238782","46510"
"00238913","292"
"00238977","303"
"00239514","339"
"00239596","24122"
"00239639","239"
"00240088","46103"
"00240370","58221"
"00240398","64209"
"00240857","26293"
"00241005","20202"
"00241120","2642"
"00241209","2629"
"00241236","2642"
"00242378","109"
"00242439","2511"
"00242712","26291"
"00242934","139"
"00243067","681"
"00243757","639"
"00243979","29169"
"00243988","61210"
"00244330","26310"
"00244419","292"
"00244455","12000"
"00244561","479"
"00244589","58222"
"00244729","60222"
"00244747","27219"
"00244783","61299"
"00244862","14120"
"00244871","61220"
"00244932","26410"
"00245296","20202"
"00245472","23999"
"00245694","91121"
"00245898","259"
"00246189","2642"
"00246347","46"
"00246383","90191"
"00246417","29271"
"00246620","61299"
"00246657","14112"
"00246815","25932"
"00247762","26410"
"00247887","29271"
"00247902","263"
"00247939","29293"
"00247975","715"
"00248053","29177"
"00248123","28123"
"00248406","14112"
"00248691","5821"
"00248956","26410"
"00248974","212"
"00249034","61210"
"00249247","631"
"00249441","60222"
"00249502","581"
"00249894","212"
"00249982","715"
"00250137","61299"
"00250614","2511"
"00250775","2622"
"00250997","201"
"00251190","58221"
"00251385","2592"
"00251482","85503"
"00252001","24121"
"00252135","29229"
"00252269","262"
"00252375","26211"
"00252393","59201"
"00252588","46510"
"00252658","26293"
"00252755","06200"
"00253514","59112"
"00253985","424"
"00254009","59114"
"00254045","64121"
"00255044","26410"
"00255071","60222"
"00255105","464"
"00255141","46595"
"00255266","26"
"00255275","29272"
"00255309","59111"
"00255433","582"
"00255619","91249"
"00255840","26211"
"00256043","212"
"00256292","2642"
"00256380","2629"
"00256502","26310"
"00256715","11111"
"00256955","2229"
"00257051","58221"
"00257149","4659"
"00257194","58221"
"00257361","26"
"00257529","5811"
"00257732","29223"
"00258102","141"
"00258360","29272"
"00258421","2642"
"00258689","59201"
"00258731","26310"
"00258801","63120"
"00258944","75210"
"00259439","62021"
"00259493","47919"
"00259536","27212"
"00259545","303"
"00259590","591"
"00259606","58111"
"00259855","62021"
"00259916","26410"
"00259934","58113"
"00260356","64911"
"00260383","20111"
"00260392","28302"
"00260408","105"
"00260569","29271"
"00260611","261"
"00260639","2642"
"00260657","271"
"00260693","261"
"00260745","63991"
"00260879","63112"
"00260888","62021"
"00260903","58221"
"00260921","58221"
"00260930","59201"
"00260958","461"
"00260985","58221"
"00261009","467"
"00261054","201"
"00261124","58221"
"00261188","58221"
"00261212","46510"
"00261285","35200"
"00261355","75210"
"00261373","73909"
"00261443","582"
"00261461","46510"
"00261601","13992"
"00261656","20413"
"00261735","204"
"00261887","2611"
"00261957","467"
"00262044","2642"
"00262123","26410"
"00262266","303"
"00262275","26410"
"00262682","59111"
"00263140","26"
"00263371","60221"
"00263654","212"
"00263885","2811"
"00263955","28901"
"00263991","58221"
"00264103","26292"
"00264130","4610"
"00264185","58221"
"00264228","47711"
